equipo;ciudad;entrenador;capitan;estadio;aforo;proveedor;temporadas;location_estadio;lim_salarial
Deportivo Alaves;Vitoria;Abelardo Fernandez;Manu Garcia;Mendizorroza;19840;Kelme;14;-2.688044,42.837111;39.193
Athletic Club;Bilbao;Gaizka Garitano;Markel Susaeta;San Mames;53289;New Balance;88;-2.949369,43.264205;87.869
Atletico de Madrid;Madrid;Diego Simeone?;Diego Godin;Wanda Metropolitano;67829;Nike;82;-3.599444,40.436111;293
F. C. Barcelona;Barcelona;Ernesto Valverde;Leo Messi;Camp Nou;99354;Nike;88;2.1225,41.380833;632.971
Real Betis Balompie;Sevilla;Quique Setien;Joaquín Sanchez;Benito Villamarin;60720;Kappa;53;-5.981611,37.356403;97.112
R. C. Celta de Vigo;Vigo;Miguel Cardoso;Hugo Mallo;Abanca Balaidos;29000;Adidas;53; -8.740328,42.211861;50.97
S. D. Eibar;Eibar;Jose Luis Mendilibar;Sergi Enrich;Ipurua;7083;Puma;5;-2.475803,43.181706;41.258
R. C. D. Español;Cornella de Llobregat;Rubi;Esteban Granero;RCDE Stadium;40500;Kelme;84;2.075667,41.347861;56.774
Getafe C. F.;Getafe;José Bordalas;Jorge Molina;Coliseum Alfonso Perez;17393;Joma;14;-3.714722,40.325556;39.245
Girona F. C.;Girona;Eusebio Sacristan;Alex Granell;Montilivi;14286;Umbro;2;2.828611,41.961389;36.755
S. D. Huesca;Huesca;Francisco Rodriguez;Gonzalo Melero;Estadio El Alcoraz;7638;Kelme;1;-0.424444,42.131944;29.328
C. D. Leganes;Leganes;Mauricio Pellegrino;Alexander Szymanowski;Butarque;12450;Joma;3;-3.7607,40.3404;52.864
Levante U.D.;Valencia;Paco Lopez;Pedro Lopez;Ciudad de Valencia;25354;Macron?;13; -0.364167,39.494722;52.369
Rayo Vallecano;Madrid;Michel;Alberto Garcia;Campo de Vallecas;14790;Kelme;18;-3.658961,40.391944;33.077
Real Madrid C.F.;Madrid;Santiago Solari;Sergio Ramos;Santiago Bernabeu;81044;Adidas;88;-3.68835,40.45306;566.53
Real Sociedad;San Sebastian;Imanol Alguacil;Asier Illarramendi;Anoeta;29000;Macron;72;-1.973617,43.301378;80.808
Sevilla F. C.;Sevilla;Pablo Machin;Jesus Navas;Ramon Sanchez Pizjuan;44000;Nike;75;-5.970467,37.383878;162.783
Valencia C. F.;Valencia;Marcelino Garcia Toral;Daniel Parejo;Mestalla;54000;Adidas;84;-0.358333,39.474722;164.684
Real Valladolid;Valladolid;Sergio Gonzalez;Javi Moyano;Estadio Jose Zorrilla;26512;Hummel;43;-4.761111,41.644444;23.882
Villarreal C. F.;Villarreal;Luis Garcia Plaza;Manu Trigueros;Estadio de la Ceramica;25000;Joma;19;-0.103611,39.944167;109.126
