Estadio,Capacidad,Ciudad,País,Inaug.,Remod.,Club / Selección
Camp Nou[1]​,99 354,Barcelona,España,1957,1994,F. C. Barcelona
Wembley[2]​,90 000,Londres,Inglaterra,2007,-,Selección de fútbol de Inglaterra
Olímpico Luzhnikí,89 318,Moscú,Rusia,1956,2017,Selección de fútbol de Rusia
Signal Iduna Park,81 360,Dortmund,Alemania,1974,2006,Borussia Dortmund
Santiago Bernabéu[3]​,81 044,Madrid,España,1947,2011,Real Madrid C. F.
Stade France,80 430,Saint-Denis,Francia,1998,-,"Selección de fútbol de Francia, Selección de rugby de Francia"
Giuseppe Meazza,80 074,Milán,Italia,1927,1990,"A. C. Milan, F. C. Internazionale"
Old Trafford,76 957,Mánchester,Inglaterra,1910,2006,Manchester United F. C.
Olímpico Atatürk,76 092,Estambul,Turquía,2001,2005,Selección de fútbol de Turquía
Millennium,74 500,Cardiff,Gales,1999,-,"Selección de fútbol de Gales, Selección de rugby de Gales"
Olímpico de Berlín,74 228,Berlín,Alemania,1936,2004,"Hertha BSC, Selección de fútbol de Alemania"
Olímpico de Roma,72 698,Roma,Italia,1953,2008,"AS Roma, SS Lazio, Selección de fútbol de Italia"
Olímpico de Kiev,70 050,Kiev,Ucrania,1923,2011,Selección de fútbol de Ucrania
Allianz Arena,75 500,Múnich,Alemania,2005,-,FC Bayern München
Olímpico de Bakú,69 870,Bakú,Azerbaiyán,2015,-,Selección de fútbol de Azerbaiyán
Gazprom Arena,69 501,San Petersburgo,Rusia,2015,-,FC Zenit San Petersburgo
Olímpico de Múnich,69 250,Múnich,Alemania,1972,
Wanda Metropolitano,68 236,Madrid,España,1994,2017,Club Atlético de Madrid
Stade Vélodrome,67 394,Marsella,Francia,1938,-,"Olympique Marsella, RC Toulon"
Estádio da Luz,65 647,Lisboa,Portugal,2003,-,"SL Benfica, Selección de fútbol de Portugal"
Olímpico de Atenas,65 000,Atenas,Grecia,1982,2004,"Panathinaikos FC, AEK Atenas, Selección de fútbol de Grecia"
San Paolo,65 000,Nápoles,Italia,1959,2007,SSC Napoli
Volgogrado Arena,65 000,Volgogrado,Rusia Rusia,2017,-,Rotor Volgogrado
Samara Arena,63 000,Samara,Rusia Rusia,2017,-,PFC Krylia Sovetov Samara
Estadio Benito Villamarín,60 721,Sevilla,España,1929,2017,Real Betis Balompié
Celtic Park,60 355,Glasgow,Escocia,1892,2004,Celtic F.C.
Emirates Stadium,60 338,Londres,Inglaterra,2006,-,Arsenal FC
Olímpico de Londres,60 010,Londres,Inglaterra,2012,-,West Ham United Football Club
Parc Olympique Lyonnais,59 186,Lyon,Francia,2016,-,Olympique Lyonnais
Nacional de Polonia,58 500,Varsovia,Polonia,2012,-,Selección de fútbol de Polonia
San Nicola,58 270,Bari,Italia,1990,-,Associazione Sportiva Bari
Olímpico La Cartuja[1]​,57 619,Sevilla,España,1999,-
Lluís Companys[1]​,55 926,Barcelona,España,1929,2007
Estadio Estrella Roja,55 538,Belgrado,Serbia,1963,2008,"Estrella Roja de Belgrado, Selección de fútbol de Serbia"
Estadio de Nizhni Nóvgorod,55 300,Nizhni Nóvgorod,Rusia Rusia,2017,-,FC Volga Nizhny Novgorod
Stadionul Naţional,55 200,Bucarest,Rumania,2011,-,Selección de fútbol de Rumania
Ciudad de Mánchester,55 097,Mánchester,Inglaterra,2003,-,Manchester City Football Club
Mestalla,55 000,Valencia,España,1923,1998,Valencia Club de Fútbol
Vicente Calderón[1]​,54 907,Madrid,España,1966,1982,Atlético de Madrid
Mercedes-Benz Arena,54 906,Stuttgart,Alemania,1933,2011,VfB Stuttgart
Estadio Borís Paichadze,54 550,Tiflis,Georgia,1976,-,Dinamo Tbilisi
